296-08-03 | GENERACJA obciazenie | prog=- | wynik=79 | sekret z przeszlosci (list z Starego Zamku)
296-08-03 | GENERACJA sakiewka | prog=- | wynik=58 | 58 miedziakow startowo
296-08-03 | GENERACJA pogoda | prog=- | wynik=56 | chlodna mgla, przejasnia sie ku poludniu
296-08-03 | GENERACJA zdrowie | prog=- | wynik=74 | zdrowie 74
296-08-03 | GENERACJA plotka | prog=- | wynik=31 | dwie plotki startowe (galera, Pate)
296-08-03 | odczyt braavijskiego manifestu u Nesty (proba) | prog=48 | wynik=77 | czysty sukces: czyta pewnie, uczciwie flaguje jeden termin kupiecki
296-08-03 | negocjacja o staly uklad i poreczenie u Nesty | prog=50 | wynik=58 | sukces okupiony kosztem: uklad probny TAK, poreczenie odroczone, klauzula lojalnosci/wylacznosci, zaplata bez zmian
296-08-03 | rozmowa po braavijsku z Nesta (rapport) | prog=40 | wynik=69 | czysty sukces: miekknie, mowi szczerze, ujawnia pochodzenie i stawke sezonu
296-08-03 | uwazny audyt manifestow Nesty (szukanie niescislosci) | prog=55 | wynik=90 | wybitny sukces: wykrywa rozbieznosc miedzy braavijskim oryginalem a notarialna kopia (zawyzone postojowe + dopisana oplata) — reka cechowego notariusza; monogram R.C. budzi niejasny niepokoj
296-08-03 | odczyt reakcji Nesty (badanie twarzy przy oskarzeniu) | prog=40 | wynik=19 | PORAZKA: nie odczytuje jej — twarz nieprzenikniona; komplikacja: zauwaza, ze ja studiuje, i zamyka sie jeszcze bardziej, notariusza nie nazywa
296-08-03 | list do armatora Braavos, pisany najstaranniej | prog=45 | wynik=98 | wybitny sukces: pismo piekne nawet w braavijskim skrypcie; Nesta pod wrazeniem
296-08-03 | popoludniowy utarg przy Bramie Foki | prog=50 | wynik=49 | ledwie ponizej: skromny utarg, 2 drobne zlecenia (~12 mied), wlasny atrament na wyczerpaniu
296-08-03 | zdarzenie popoludnia | prog=- | wynik=3 | KOMPLIKACJA: cechowy poborca Harwin naklada ultimatum na nielicencjonowanego skrybe (plan cechu odpala wczesniej)
296-08-03 | targ z Harwinem o wpisowe/zwloke | prog=50 | wynik=1 | KRYTYCZNA PORAZKA: potraktowal targ jak zniewage; publiczne upokorzenie, przewrocony stolik, zniszczone arkusze, skrocony termin do 2 dni, sposowana furtka lapowki
296-08-04 | propozycja Garthowi (czytanie braavijskich manifestow pod skrzydlem cel) | prog=50 | wynik=44 | porazka (blisko): kuszace, ale Garth boi sie cechu i kasztelana; odmawia na razie, odslania blad-kolo: publiczne pietno cechu blokuje sciezke patrona
296-08-04 | kontrakt+zaliczka 300 u Nesty (rok wylacznosci) | prog=50 | wynik=36 | PORAZKA: logika dobra, ale Nesta bez gotowki (kapital na galerze) + slusznie odmawia dokladania do ryzyka jednego statku; sympatia wobec sprawy cechu, ale grosza nie ma; dowiaduje sie, jak Symon jest zdesperowany
296-08-04 | sesja pracy nad zalegloscia Nesty (manifesty/rachunki) + prosba o ksiazki | prog=50 | wynik=65 | sukces: domyka spory batch, zarabia skromnie (Nesta placi tanio — wie, ze przyparty), zauwaza ze fałsz notariusza (R.C.) jest SYSTEMATYCZNY (od miesiecy), Nesta pokazuje braavijska ksiege miar/obyczajow i pozwala czytac u siebie
296-08-05 | zwiad Brana o Harwinie (kto, komu grozi, z ramienia cechu czy na wlasna reke) | prog=50 | wynik=16 | PORAZKA: Bran za malo subtelny — zbierze marne, niepewne wiesci, a jego wypytywanie zwroci na siebie uwage; ryzyko, ze trop poprowadzi Harwina ku zaulkowi/Serli. Ujawnic przy meldunku.
296-08-05 | prosba do septona Owena o uczciwa prace pismienna | prog=40 (typ 50, -10 maesterskie pochodzenie/pora, brak premii relacji) | wynik=89 | CZYSTY SUKCES (mocny): Owen ujety, oferuje probe — nauka sierot + kopiowanie, w zamian dach w sepcie i strawa; chce go widziec na Dzien Matki. LIABILITY: braavijski/Nesta musza pozostac ukryte przed Wiara
296-08-05 | [realizacja] meldunek Brana: marny zwiad (Harwin nadal pyta, ton osobisty; NIE ustalono cech-vs-wlasna-reka) + jego wypytywanie zauwazone (Willam) -> trop cieplejszy ku zaulkowi
296-08-05 | Serla: prawda + dobrowolne odejscie (mam furtke) | prog=35 (typ 50, -10 relacja, -10 dajesz jej to, czego chce: znikasz) | wynik=56 | SUKCES: ulga i wdziecznosc zamiast paniki; relacja cieplejsza; odchodzi na wlasnych warunkach, Serla nie bedzie go wydawac ochoczo; czynszu nie egzekwuje twardo
296-08-06 | spowiedz Owenowi: prawda o cechu (odmowa lapowki Harwinowi) + PRZEMILCZENIE Nesty i listu | prog=35 (typ 50, -10 wspolczujaca prawdziwa historia, -5 Owen sprzyja) | wynik=3 | KRYT. PORAZKA na koncealmencie: cech-czesc kupuje i wspolczuje, ALE wyczuwa niedopowiedzenie ('za czysta historia'); czuje sie zarzadzany; ochladza sie, cofa oslone, wpuszcza-na-razie do Dnia Matki, zada pelnej prawdy, staje sie CZUJNY. Owen nast 9->5, zauf 5->3
